response_id,duration_ms,memory_utilization_percentage,total_memory,cpu_total_time_ms,total_network_bytes,billed_mb_ms,invoke_cost_gb_per_second,cold_start,@ptr,init_duration_ms
0879eb4a-4783-43bf-83b3-c1e11b54b0d6,2288,19,1024,1120,195516,2343936,2.3439,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuKVswABkMtMHAAAAKyIAEo8caltPYwMPHGpbT2MDgBQMoISMIiULYOGAAQABgB,
c974aca3-cd16-4484-b20e-968d1f99ae10,2576,19,1024,1160,194191,2638848,2.6388,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNRoYAgZASn6JAAAAAJ/UWf8ABkMtMHAAAACSIAEoqaeltPYwMLO8prT2MDgEQLUiSIksUPwXGAAQARgB,
e7c25ce3-7730-404d-a94f-015ef0131afc,4550,15,1024,1590,65727,4660224,4.6602,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAISNRoYAgY90g6xAAAAAptqKaQABkMtMuAAAAcSIAEogreltPYwMMfNq7T2MDgLQIJfSPU9UKcoGAAQABgB,
8ae680e2-1989-4f9d-8224-2a64b2d752d2,10864,19,1024,3830,129476,11125760,11.1258,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAESNRoYAgXzn9uEAAAABDiBbhkABkMtMIAAAAJCIAEoiK+ltPYwMLWyqbT2MDgEQLAiSNYrUMkXGAAQABgB,
48bf6dca-5fb3-4a9a-b430-833aaaef6a6e,10979,19,1024,3930,127004,11243520,11.2435,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNRoYAgZASn6JAAAAAJ/UWf8ABkMtMHAAAACSIAEoqaeltPYwMLO8prT2MDgEQLUiSIksUPwXGAAQABgB,
601ecffc-c35e-4f4f-955c-1a58183d067f,11127,18,1024,3970,139212,11395072,11.3951,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNRoYAgZASn6JAAAAAJ/a3eEABkMtTZAAAACSIAEo16nGtPYwMNipxrT2MDgEQPwiSPctUKoYGAAQARgB,
cbc18e95-b6d4-44b9-87af-b342151760ff,11196,19,1024,4310,139406,11465728,11.4657,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNRoYAgZASn6JAAAAAJ/a3eEABkMtTZAAAACSIAEo16nGtPYwMNipxrT2MDgEQPwiSPctUKoYGAAQAhgB,
76fb327b-79ef-4553-8ced-9a991ab91ed0,11387,19,1024,4650,138829,11661312,11.6613,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAYSNRoYAgYiag15AAAAAjOoBTAABkMtUXAAAAWSIAEo16nGtPYwMNipxrT2MDgCQJkRSK0mUKASGAAQARgB,
018ec1b9-e9c0-49a3-ae01-00d14e3d8553,4751,19,1024,1900,65688,4866048,4.866,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAUSNRoYAgYrFDQ9AAAAAucon4gABkMtU6AAAAHSIAEo16nGtPYwMNepxrT2MDgBQMgISMIiULYOGAAQABgB,
42faf25e-ffc9-48c7-a5e1-e43fdd35058d,2388,19,1024,1340,201172,2446336,2.4463,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAESNRoYAgXzn9uEAAAABDiCqvMABkMtT7AAAAJCIAEo16nGtPYwMNepxrT2MDgBQMsISMciULsOGAAQABgB,
